2,3
0.000000,217651.632725
0.005287,0.734915
0.010853,0.358663
0.016713,0.337036
0.022883,0.184969
0.029379,0.129592
0.036219,0.131150
0.043421,0.174892
0.051003,0.267930
0.058985,0.417841
0.067390,0.619460
0.076240,0.849834
0.085557,1.074074
0.095366,1.261999
0.105695,1.401603
0.116569,1.502941
0.128018,1.589768
0.140072,1.684459
0.152764,1.795573
0.166126,1.917016
0.180195,2.036313
0.195008,2.142262
0.210604,2.224874
0.227024,2.273895
0.244313,2.281585
0.262515,2.245367
0.281680,2.170494
0.301858,2.066850
0.323102,1.946781
0.345470,1.822283
0.369020,1.702964
0.393815,1.595113
0.419921,1.501699
0.447407,1.423354
0.476347,1.359527
0.506816,1.309373
0.538895,1.272175
0.572671,1.247308
0.608233,1.234299
0.645674,1.232724
0.685095,1.242158
0.726599,1.262291
0.770298,1.292640
0.816307,1.332923
0.864749,1.382641
0.915751,1.441202
0.969450,1.507549
1.025987,1.580385
1.085513,1.657756
1.148186,1.737135
1.214173,1.815751
1.283648,1.890222
1.356796,1.957229
1.433810,2.013442
1.514897,2.056044
1.600269,2.087923
1.690156,2.087923
1.784794,2.073456
1.884435,2.073456
1.989344,1.998743
2.099799,1.998743
2.216093,1.882944
2.338536,1.882944
2.467451,1.749536
2.603182,1.749536
2.746088,1.538715
2.896549,1.538715
3.054964,1.538715
3.221754,1.538715
3.397361,1.538715
3.582252,1.345914
3.776918,1.345914
3.981874,1.345914
4.197666,1.345914
4.424866,1.345914
4.664077,1.345914
4.915934,1.345914
5.181106,1.345914
5.460296,1.345914
5.754246,1.345914
6.063736,1.471621
6.389587,1.471621
6.732665,1.471621
7.093880,1.471621
7.474190,1.471621
7.874607,1.471621
8.296191,1.471621
8.740063,1.471621
9.207401,1.471621
9.699445,1.471621
10.217501,1.471621
10.762945,1.471621
11.337224,1.471621
11.941863,1.471621
12.578466,1.471621
